,acc,trait,fold,network,dataset,lr,batch_size,epochs,model_input,embed,layer,mode,embed_mode,jobid
0,58.70445370674133,EXT,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
1,57.08501935005188,EXT,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
2,58.29959511756897,EXT,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
3,58.29959511756897,EXT,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
4,54.6558678150177,EXT,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
5,56.68016076087952,EXT,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
6,54.6558678150177,EXT,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
7,57.723575830459595,EXT,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
8,59.34959053993225,EXT,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
9,55.28455376625061,EXT,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
10,55.87044358253479,NEU,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
11,55.06072640419006,NEU,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
12,57.08501935005188,NEU,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
13,60.72874665260315,NEU,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
14,63.562750816345215,NEU,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
15,60.323888063430786,NEU,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
16,58.70445370674133,NEU,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
17,54.878050088882446,NEU,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
18,53.658539056777954,NEU,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
19,58.53658318519592,NEU,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
20,56.68016076087952,AGR,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
21,59.91902947425842,AGR,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
22,59.109312295913696,AGR,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
23,56.27530217170715,AGR,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
24,59.51417088508606,AGR,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
25,57.48987793922424,AGR,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
26,57.894736528396606,AGR,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
27,56.5040647983551,AGR,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
28,58.94308686256409,AGR,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
29,58.94308686256409,AGR,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
30,53.84615659713745,CON,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
31,59.51417088508606,CON,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
32,58.29959511756897,CON,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
33,63.562750816345215,CON,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
34,57.894736528396606,CON,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
35,61.94332242012024,CON,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
36,55.46558499336243,CON,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
37,59.75610017776489,CON,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
38,53.25203537940979,CON,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
39,57.31707215309143,CON,10,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
40,61.538463830947876,OPN,1,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
41,65.58704376220703,OPN,2,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
42,67.20647811889648,OPN,3,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
43,64.7773265838623,OPN,4,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
44,59.51417088508606,OPN,5,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
45,60.72874665260315,OPN,6,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
46,63.562750816345215,OPN,7,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
47,62.19512224197388,OPN,8,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
48,61.78861856460571,OPN,9,MLP,essays,0.0005,32,10,LM_features,bert-base,11,512_head,cls,0
